reward,action_name,solar_kw,load_kw,grid_kw,battery_power_kw,soc_pct,cost_inr,violation
-6.043365999999999,idle,47.313,76.863,29.549999999999997,0.0,55.00000000000001,165.47999999999996,False
-8.497576666666665,idle,39.405,78.863,39.458,0.0,55.00000000000001,220.96479999999997,False
-12.924985999999999,idle,20.873,77.876,57.003,0.0,55.00000000000001,319.2168,False
-18.059867999999994,idle,6.424,84.319,77.895,0.0,55.00000000000001,436.21199999999993,False
-37.28433333333333,idle,0.0,84.1,84.1,0.0,55.00000000000001,773.7199999999999,False
-39.347606666666664,idle,0.0,88.754,88.754,0.0,55.00000000000001,816.5368,False
-44.07398333333333,idle,0.0,99.415,99.415,0.0,55.00000000000001,914.6179999999999,False
-41.917609999999996,idle,0.0,94.551,94.551,0.0,55.00000000000001,869.8692,False
-8.387383333333334,idle,0.0,77.422,77.422,0.0,55.00000000000001,201.2972,False
-6.835616666666667,idle,0.0,63.098,63.098,0.0,55.00000000000001,164.0548,False
-5.483291666666667,idle,0.0,50.615,50.615,0.0,55.00000000000001,131.59900000000002,False
-5.187216666666667,idle,0.0,47.882,47.882,0.0,55.00000000000001,124.4932,False
-5.393916666666667,idle,0.0,49.79,49.79,0.0,55.00000000000001,129.454,False
-4.823433333333333,idle,0.0,44.524,44.524,0.0,55.00000000000001,115.7624,False
-4.999041666666668,idle,0.0,46.145,46.145,0.0,55.00000000000001,119.97700000000002,False
-6.5361959999999995,idle,0.878,61.358,60.48,0.0,55.00000000000001,157.248,False
-12.530172666666665,idle,11.683,66.285,54.602,0.0,55.00000000000001,305.77119999999996,False
-10.434761333333332,idle,29.304,76.285,46.980999999999995,0.0,55.00000000000001,263.0936,False
-6.9820379999999975,idle,49.609,83.359,33.74999999999999,0.0,55.00000000000001,188.99999999999994,False
-4.887087333333335,idle,55.797,81.046,25.24900000000001,0.0,55.00000000000001,141.39440000000005,False
-0.8488433333333354,idle,66.255,75.004,8.74900000000001,0.0,55.00000000000001,48.99440000000005,False
